id,site,job_url,title,company,location,date_posted,is_remote,job_level,company_url,job_url_direct,job_type,interval,currency,description,company_logo,company_url_direct,company_addresses,company_description,salary_source,min_amount,max_amount,company_industry,company_num_employees,company_revenue,relevance_score
li-4337417005,linkedin,https://www.linkedin.com/jobs/view/4337417005,AI Engineer,Virtuos,,2026-05-16,False,,https://sg.linkedin.com/company/virtuosgames,,,,,,,,,,,,,,,,15
li-4403426770,linkedin,https://www.linkedin.com/jobs/view/4403426770,Machine Learning Engineer,Dex,"London Area, United Kingdom",2026-05-16,False,,https://uk.linkedin.com/company/meetdex,,,,,,,,,,,,,,,,15
li-4407058322,linkedin,https://www.linkedin.com/jobs/view/4407058322,Machine Learning Engineer,Deliveroo,"London, England, UK",,False,,https://uk.linkedin.com/company/deliveroo,,,,,,,,,,,,,,,,15
li-4417414932,linkedin,https://www.linkedin.com/jobs/view/4417414932,Machine Learning Engineer,Timescapes,"Auckland, Auckland, New Zealand",,False,,https://nz.linkedin.com/company/timescapes,,,,,,,,,,,,,,,,15
li-4413657970,linkedin,https://www.linkedin.com/jobs/view/4413657970,Machine Learning Engineer - London - Hybrid,Oliver Bernard,"London Area, United Kingdom",,False,,https://uk.linkedin.com/company/oliverbernard,,,,,,,,,,,,,,,,15
li-4414013396,linkedin,https://www.linkedin.com/jobs/view/4414013396,NI DS AI Summer Trainee - Egypt,Nokia,"Cairo, Cairo, Egypt",,False,,https://fi.linkedin.com/company/nokia,,,,,,,,,,,,,,,,15
li-4274837146,linkedin,https://www.linkedin.com/jobs/view/4274837146,"Applied AI Engineer, Global Public Sector",Scale AI,"Doha, Qatar",,False,,https://www.linkedin.com/company/scaleai,,,,,,,,,,,,,,,,15
li-4416505651,linkedin,https://www.linkedin.com/jobs/view/4416505651,Computer Vision Engineer,VivaCity,"London Area, United Kingdom",,False,,https://uk.linkedin.com/company/vivacity-labs,,,,,,,,,,,,,,,,15
li-4416399204,linkedin,https://www.linkedin.com/jobs/view/4416399204,Product Data Analyst (Fully Remote),Flamingo Cards,,,True,,https://www.linkedin.com/company/flamingo-cards,,,,,,,,,,,,,,,,15
li-4416398751,linkedin,https://www.linkedin.com/jobs/view/4416398751,Data Analyst,Al Ahly Momkn,"Cairo, Cairo, Egypt",,False,,https://eg.linkedin.com/company/alahlymomknfore-payments,,,,,,,,,,,,,,,,15
li-4416246705,linkedin,https://www.linkedin.com/jobs/view/4416246705,Data Engineering Internship,RATP Dev Mobility Cairo,"Cairo, Cairo, Egypt",2026-05-19,False,,https://eg.linkedin.com/company/mobility-cairo,,,,,,,,,,,,,,,,13
li-4416202633,linkedin,https://www.linkedin.com/jobs/view/4416202633,Data Analyst (Power BI),HIREXE,,2026-05-18,False,,https://www.linkedin.com/company/hirexe,,,,,,,,,,,,,,,,13
li-4415454308,linkedin,https://www.linkedin.com/jobs/view/4415454308,"Junior Software Engineer — Remote, Egypt",MixRank,,2026-05-17,True,,https://www.linkedin.com/company/mixrank,,,,,,,,,,,,,,,,13
li-4392455280,linkedin,https://www.linkedin.com/jobs/view/4392455280,Software Engineer (Python) - AI Platform,Revolut,,2026-05-16,False,,https://uk.linkedin.com/company/revolut,,,,,,,,,,,,,,,,13
li-4416935636,linkedin,https://www.linkedin.com/jobs/view/4416935636,Infrastructure Optimization Specialist - AI Trainer - Freelance - 8-20 hrs/week - Remote,10x.Team,"Rome, Latium, Italy",,True,,https://nl.linkedin.com/company/10xteam,,,,,,,,,,,,,,,,13
li-4416938625,linkedin,https://www.linkedin.com/jobs/view/4416938625,AI Architect - AI Trainer - Freelance - 8-20 hrs/week - Remote,10x.Team,"Paris, Île-de-France, France",,True,,https://nl.linkedin.com/company/10xteam,,,,,,,,,,,,,,,,13
li-4416944577,linkedin,https://www.linkedin.com/jobs/view/4416944577,Change Consultant - AI Trainer - Freelance - 8-20 hrs/week - Remote,10x.Team,"London, England, UK",,True,,https://nl.linkedin.com/company/10xteam,,,,,,,,,,,,,,,,13
